id;link;frage;antwort
1;https://www.hensche.de/Abfindung-nach-Paragraph-1a-Kuendigungsschutzgesetz-KSchG.html;Worin besteht der Zweck von § 1a KSchG? ; Wer länger als sechs Monate in einem Betrieb mit mehr als zehn Arbeitnehmern arbeitet, hat Kündigungsschutz nach dem KSchG und kann daher eine ordentliche (fristgemäße) Kündigung seines Arbeitgebers gerichtlich überprüfen lassen. Solche Kündigungsschutzklagen sind zwar darauf gerichtet, das Arbeitsverhältnis zu retten, doch enden sie in den meisten Fällen damit, dass der Arbeitnehmer seinen Hut nimmt, allerdings gegen Zahlung einer Abfindung. Wie hoch die Abfindung im Ergebnis einer Kündigungsschutzklage ausfällt, ist Verhandlungssache und hängt davon ab, ob die streitige Kündigung mehr oder weniger angreifbar ist, wie lange der Prozess dauert, wie schnell der Arbeitnehmer einen anderen Job findet und natürlich von sozialen Gesichtspunkten wie der Dauer des Arbeitsverhältnisses. Nähere Informationen hierzu finden Sie unter dem Stichwort Abfindungshöhe, Berechnung und Höhe der Abfindung. Schaut man nur auf das typische Resultat einer Kündigungsschutzklage, d.h. die Vereinbarung einer Abfindung, erscheint das Klageverfahren als überflüssiger Umweg, der mit Stress, Zeitverlust und Kosten verbunden ist. Daher hat der Gesetzgeber zum 01.01.2004 mit § 1a KSchG eine verfahrensmäßige Abkürzung geschaffen. Sie soll es Arbeitgebern und Arbeitnehmern ermöglichen, sich schnell, kostengünstig und unbürokratisch auf eine Standard-Abfindung von einem halben Monatsgehalt pro Beschäftigungsjahr zu einigen.  
2;https://www.hensche.de/Abfindung-nach-Paragraph-1a-Kuendigungsschutzgesetz-KSchG.html;In welchen Fällen ist § 1a KSchG anwendbar? ; Für eine Abfindungslösung gemäß § 1a KSchG muss sich der Arbeitgeber bewusst entscheiden. § 1a KSchG beinhaltet keinen allgemeinen oder gar zwingenden gesetzlichen Abfindungsanspruch. Vielmehr setzt diese Regelung eine betriebsbedingte Kündigung und eine ausdrückliche Abfindungszusage des Arbeitgebers voraus. § 1a KSchG lautet: „(1) Kündigt der Arbeitgeber wegen dringender betrieblicher Erfordernisse nach § 1 Abs.2 Satz 1 und erhebt der Arbeitnehmer bis zum Ablauf der Frist des § 4 Satz 1 keine Klage auf Feststellung, dass das Arbeitsverhältnis durch die Kündigung nicht aufgelöst ist, hat der Arbeitnehmer mit dem Ablauf der Kündigungsfrist Anspruch auf eine Abfindung. Der Anspruch setzt den Hinweis des Arbeitgebers in der Kündigungserklärung voraus, dass die Kündigung auf dringende betriebliche Erfordernisse gestützt ist und der Arbeitnehmer bei Verstreichenlassen der Klagefrist die Abfindung beanspruchen kann.  (2) Die Höhe der Abfindung beträgt 0,5 Monatsverdienste für jedes Jahr des Bestehens des Arbeitsverhältnisses. § 10 Abs.3 gilt entsprechend. Bei der Ermittlung der Dauer des Arbeitsverhältnisses ist ein Zeitraum von mehr als sechs Monaten auf ein volles Jahr aufzurunden.“  
3;https://www.hensche.de/Abfindung-nach-Paragraph-1a-Kuendigungsschutzgesetz-KSchG.html;Wann besteht ein Abfindungsanspruch gemäß § 1a KSchG? ; Für einen Abfindungsanspruch nach § 1a KSchG ist kein Vertrag erforderlich, d.h. kein gerichtlicher Vergleich, kein Aufhebungsvertrag und kein Abwicklungsvertrag. Vielmehr genügt eine einseitige Zusage des Arbeitgebers. Konkret müssen für einen Anspruch nach § 1a KSchG folgende Voraussetzungen gegeben sein: Das KSchG muss anwendbar sein, d.h. der gekündigte Arbeitnehmer muss länger als sechs Monate in einem Betrieb gearbeitet haben, in dem mehr als zehn Arbeitnehmer beschäftigt werden (§ 1 Abs.1 KSchG, § 23 Abs.1 KSchG). Der Arbeitgeber muss eine fristgemäße betriebsbedingte Kündigung ausgesprochen haben. Bei ordentlich unkündbaren Arbeitnehmern kann das auch eine außerordentliche betriebsbedingte Kündigung mit Gewährung einer Auslauffrist sein. Das Kündigungsschreiben muss den ausdrücklichen Hinweis darauf enthalten, dass die Kündigung auf dringende betriebliche Erfordernisse gestützt wird und dass der Arbeitnehmer bei Verstreichenlassen der gesetzlichen Klagefrist eine Abfindung nach § 1a KSchG beanspruchen kann. Der gekündigte Arbeitnehmer muss die gesetzliche Klagefrist von drei Wochen (§ 4 Satz 1 KSchG) ungenutzt verstreichen lassen, womit die Rechtswirksamkeit der Kündigung endgültig feststeht (§ 7 KSchG).  
4;https://www.hensche.de/Abfindung-nach-Paragraph-1a-Kuendigungsschutzgesetz-KSchG.html;Wie hoch ist eine Abfindung gemäß § 1a KSchG? ; Die Höhe der Abfindung gemäß § 1a KSchG ist gesetzlich festgelegt und beträgt 0,5 Bruttomonatsgehälter pro Beschäftigungsjahr. Maßgeblich ist dabei gemäß § 10 Abs.3 KSchG das Gehalt im letzten Monat des Arbeitsverhältnisses (§ 1a Abs.2 Satz 2 KSchG). Zeiten der Betriebszugehörigkeit von mehr als sechs Monaten sind auf ein Jahr aufzurunden (§ 1a Abs.2 Satz 3 KSchG). BEISPIEL: Ein kaufmännischer Angestellter war von April 2015 bis November 2017 bei einem Großhändler zu einem Grundgehalt von 4.000,00 EUR zzgl. Verkaufsprovisionen beschäftigt. Aufgrund einer Kündigung seines Arbeitgebers gemäß § 1a KSchG hat er einen Abfindungsanspruch, der zusammen mit dem Novembergehalt fällig ist. Sein Bruttomonatsgehalt im November 2017 beträgt 4.000,00 EUR (Grundgehalt) plus 4.000,00 EUR (Einmalzahlung ) plus 1.000,00 EUR Provisionen, außerdem bekommt er 480,00 EUR netto Reisekostenerstattung. Der steuerliche Wert des vom Arbeitgeber bereitgestellten Dienstwagens, den der Angestellte auch privat nutzen kann, beträgt 320,00 EUR. In diesem Fall beträgt das Monatsgehalt, das für die Berechnung der Abfindung zugrunde zu legen ist, 4.000,00 EUR (Grundgehalt) plus 333,33 EUR (= 1/12 der Einmahlung, die zwar im November ausgezahlt wird, aber im gesamten Jahr erarbeitet wird) plus 1.000,00 EUR (Provisionen) plus 320,00 EUR (Dienstwagen), insgesamt somit 5.653,33 EUR brutto. Die 480,00 EUR netto Reisekostenerstattung gehören nicht zum Bruttogehalt. Da der Angestellte zwei Jahre und acht Monate beschäftigt war, ist für die Berechnung der Abfindung von drei Beschäftigungsjahren auszugehen (§ 1a Abs.2 Satz 3 KSchG). Die Abfindung beträgt daher (5.653,33 : 2 x 3 =) 8.480,00 EUR brutto.  
5;https://www.hensche.de/Abfindung-nach-Paragraph-1a-Kuendigungsschutzgesetz-KSchG.html;Kann der Arbeitgeber im Kündigungsschreiben auch eine höhere oder geringere Abfindung anbieten? ; Ja, das kann er tun, denn § 1a KSchG setzt der Vertragsfreiheit keine Grenzen. Der Arbeitgeber kann daher im Kündigungsschreiben für den Fall des Verstreichenlassens der Klagefrist im Prinzip jede beliebige Abfindung anbieten, so z.B. eine Abfindung von 0,25, von 0,75, von 1,0, von 1,5 oder auch von 2,0 oder mehr Gehältern pro Beschäftigungsjahr. Er kann aber auch anstelle eines abstrakten Berechnungsfaktors die angebotene Abfindung konkret als Eurobetrag in das Kündigungsschreiben aufnehmen. Erhebt der Arbeitnehmer innerhalb der Klagefrist keine Kündigungsschutzklage, kann er mit Ablauf der Kündigungsfrist die im Kündigungsschreiben versprochene Abfindung verlangen. Rechtsgrundlage für den Abfindungsanspruch ist dann allerdings nicht § 1a KSchG, sondern ein Abwicklungsvertrag, auf den sich der Arbeitnehmer stillschweigend eingelassen hat, indem er auf die Erhebung einer Klage verzichtet hat. Aufpassen sollte der Arbeitgeber allerdings dann, wenn er von der Abfindungshöhe gemäß § 1a KSchG nach unten abweichen möchte. Dann sollte er § 1a KSchG im Kündigungsschreiben am besten gar nicht erwähnen. Denn ein Hinweis auf § 1a KSchG bei gleichzeitiger Unterschreitung der Abfindungshöhe, die aus § 1a KSchG folgt, macht das Abfindungsangebot unklar. Dann kann die Auslegung des Kündigungsschreibens ergeben, dass der Arbeitnehmer letztlich doch eine Abfindung in Höhe eines halben Monatsgehaltes pro Beschäftigungsjahr gemäß § 1a KSchG verlangen kann. Das hat das Bundesarbeitsgericht (BAG) bereits vor einigen Jahren klargestellt (BAG, Urteil vom 13.12.2007, 2 AZR 807/06, wir berichteten in Arbeitsrecht aktuell: 08/012 Beziffertes Abfindungsangebot bei gleichzeitigem Verweis auf § 1a KSchG).  
6;https://www.hensche.de/Abfindung-nach-Paragraph-1a-Kuendigungsschutzgesetz-KSchG.html;Wann muss der Arbeitgeber die Abfindung gemäß § 1a KSchG zahlen? ; Wie sich aus § 1a Abs.1 Satz 1 KSchG ergibt, entsteht der Abfindungsanspruch nicht bereits mit Verstreichenlassen der dreiwöchigen Klagefrist, sondern erst dann, wenn die Kündigungsfrist abgelaufen ist. Erklärt eine der Vertragsparteien im Laufe der Kündigungsfrist eine weitere Kündigung, die das Arbeitsverhältnis vorzeitig beendet (z.B. fristlose Kündigung durch den Arbeitgeber, ordentliche Eigenkündigung des Arbeitnehmers mit kurzer Frist), macht das den Abfindungsanspruch zunichte. Denn das Arbeitsverhältnis endet dann aufgrund der nachgeschobenen Kündigung vor dem Zeitpunkt, in dem der Abfindungsanspruch entstehen würde. BEISPIEL: Ein zehn Jahre lang beschäftigter Arbeitnehmer erhält Anfang Januar 2018 eine betriebsbedingte Kündigung mit gesetzlicher Kündigungsfrist von vier Monaten, d.h. zum 31.05.2018. Die Kündigung ist mit einem Hinweis gemäß § 1a KSchG verbunden und der Arbeitnehmer erhebt keine Kündigungsschutzklage. Anfang Mai wirft der Arbeitgeber ihm Arbeitszeitbetrug vor, den er mit dem häufigen Überziehen von Pausen begründet. Nach Anhörung des Arbeitnehmers erklärt der Arbeitgeber Mitte Mai eine fristlose Kündigung aus verhaltensbedingten Gründen wegen Arbeitszeitbetrugs. Hilfsweise kündigt er fristlos wegen des dringenden Verdachts des Arbeitszeitbetrugs. In diesem Fall ist dem Arbeitnehmer dringend zu raten, die Wirksamkeit der fristlosen Kündigung durch Erhebung einer Kündigungsschutzklage gerichtlich überprüfen zu lassen. Denn wenn infolge des Ablaufs der dreiwöchigen Klagefrist die Wirksamkeit der fristlosen Kündigung rechtlich feststeht (§ 4 Satz 1 KSchG in Verb. mit § 7 KSchG), verliert der Arbeitnehmer nicht nur sein Gehalt für die zweite Maihälfte, sondern darüber hinaus eine Abfindung von fünf Monatsgehältern. Durch die nachgeschobene fristlose Kündigung endet das Arbeitsverhältnis nämlich nicht fristgemäß aufgrund der ordentlichen betriebsbedingten Kündigung vom Januar 2018 mit Ablauf des 31.05.2018, sondern vorfristig. Daher sind die Voraussetzungen von § 1a KSchG nicht erfüllt.  
7;https://www.hensche.de/Abfindung-nach-Paragraph-1a-Kuendigungsschutzgesetz-KSchG.html;Kann der Arbeitgeber sein Abfindungsangebot nach Zugang der Kündigung widerrufen? ; Nein, das ist nicht möglich, denn der Arbeitnehmer muss innerhalb der kurzen Klagefrist von drei Wochen wissen, woran er ist. Aus diesem Grunde spielt es auch keine Rolle, wenn der Arbeitgeber sein Abfindungsangebot nach Zugang des Kündigungsschreibens erläutert. Solche nachträglichen Erklärungen ändern nichts daran, dass ein Hinweis gemäß § 1a KSchG dem Arbeitnehmer nach Ablauf der Klagefrist einen Abfindungsanspruch in gesetzlicher Höhe verschafft und dass es für die Auslegung des Abfindungsangebots im Kündigungsschreiben allein auf dieses Schreiben und nicht auf nachgeschobene Erläuterungen des Arbeitgebers ankommt.  
8;https://www.hensche.de/Abfindung-nach-Paragraph-1a-Kuendigungsschutzgesetz-KSchG.html;Behält der Arbeitnehmer den Abfindungsanspruch gemäß § 1a KSchG, wenn er zunächst eine Klage erhebt, später aber zurücknimmt? ; Wenn Sie eine betriebsbedingte Kündigung mit einem Hinweis gemäß § 1a KSchG erhalten, haben Sie zwar noch keinen Abfindungsanspruch, denn der entsteht erst mit dem Ablauf der Kündigungsfrist. Aber immerhin haben Sie eine ziemlich sichere Anwartschaft darauf, bei regulärem Auslaufen des (Rest-)Arbeitsverhältnisses einen Abfindungsanspruch zu erwerben, denn der Arbeitgeber ist an seine Erklärung gebunden. Wenn Sie trotzdem Klage erheben, fällt die Anwartschaft bzw. der künftige Abfindungsanspruch weg. Das gilt auch dann, wenn Sie die Klage später zurücknehmen. Auch dann ist der Arbeitgeber nicht (mehr) gemäß § 1a KSchG zur Zahlung verpflichtet (BAG, Urteil vom 13.12.2007, 2 AZR 971/06, wir berichteten in Arbeitsrecht aktuell: 08/013 Keine Abfindung gemäß § 1a KSchG bei Rücknahme der Kündigungsschutzklage). Ein Abfindungsangebot gemäß § 1a KSchG setzt den gekündigten Arbeitnehmer daher unter Druck, denn er kann durch Einreichung einer Klage etwas verlieren.  
9;https://www.hensche.de/Abfindung-nach-Paragraph-1a-Kuendigungsschutzgesetz-KSchG.html;Wann ist ein Abfindungsangebot gemäß § 1a KSchG für Arbeitgeber sinnvoll? ; Arbeitgeber machen von § 1a KSchG eher selten Gebrauch. Das hat folgende Gründe: Erstens ist eine Abfindung von einem halben Gehalt pro Beschäftigungsjahr vielen Arbeitgebern zu hoch, vor allem, wenn das Arbeitsverhältnis schon sehr lange bestanden hat und der Arbeitgeber gute Chancen hat, mit seiner Kündigung vor Gericht durchzukommen. Nähere Informationen dazu, welche Faktoren bei der Kalkulation von Abfindungsangeboten eine Rolle spielen, finden Sie unter Abfindungshöhe, Berechnung und Höhe der Abfindung. Zweitens gibt es bei größeren betriebsbedingten Kündigungswellen oft Sozialpläne mit Abfindungsregelungen, die viele Arbeitnehmer zufriedenstellen oder jedenfalls von einer Klage abhalten. Zusätzliche Abfindungsangebote gemäß § 1a KSchG sind dann überflüssig. Drittens klagen viele gekündigte Arbeitnehmer auch dann nicht gegen ihre Kündigung, wenn sie kein Abfindungsangebot erhalten. Vor allem jüngere und gut qualifizierte Arbeitnehmer finden oft recht bald nach Ausspruch einer Kündigung eine neue Stelle und haben daher kein Interesse an einem Kündigungsschutzprozess. Daher ist es aus Arbeitgebersicht auch nicht klug, solchen Mitarbeitern von vornherein bzw. zusammen mit der Kündigung eine Abfindung gemäß § 1a KSchG anzubieten. In einigen Fällen kann es für Arbeitgeber sinnvoll sein, mit einer betriebsbedingten Kündigung eine Abfindung gemäß § 1a KSchG anzubieten, so z.B. in folgenden Fällen: Die vom Arbeitgeber erklärte betriebsbedingte Kündigung lässt sich vor Gericht nur schwer rechtfertigen, z.B. weil es Weiterbeschäftigungsmöglichkeiten gibt und/oder weil die Sozialauswahl angreifbar ist. Die Kündigung lässt sich gar nicht rechtfertigen, weil kein Grund im Sinne von § 1 KSchG erkennbar ist, d.h. der Arbeitgeber kündigt auf gut Glück, um herauszufinden, ob sich der Arbeitnehmer auf eine Abfindung einlässt. Der Arbeitnehmer ist noch nicht so lange beschäftigt, so dass eine Abfindung von einem halben Gehalt pro Jahr auf eine eher kleine Abfindungssumme von zwei oder drei Gehältern hinausläuft, die leicht zu verschmerzen ist. Der Arbeitgeber möchte aus prinzipiellen Gründen mit dem gekündigten Arbeitnehmer keinen Kündigungsschutzprozess führen, z.B. weil er Diskussionen im Betrieb befürchtet. Dann erhöht ein Abfindungsangebot gemäß § 1a KSchG den Druck auf den Arbeitnehmer, sich gegen eine Klage zu entscheiden. Denn ob er vor Gericht eine höhere Abfindung aushandeln kann, ist ungewiss, und bei Verzicht auf die Klage ist ihm die Abfindung gemäß § 1a KSchG sicher.  
10;https://www.hensche.de/Abfindung-nach-Paragraph-1a-Kuendigungsschutzgesetz-KSchG.html;Wann sollten Sie als Arbeitnehmer ein Abfindungsangebot gemäß § 1a KSchG annehmen? ;" Als gekündigter Arbeitnehmer müssen Sie ein Abfindungsangebot gemäß § 1a KSchG natürlich nicht annehmen, sondern können Kündigungsschutzklage einreichen und um den Erhalt Ihres Arbeitsplatzes streiten. Ein solches Vorgehen kommt u.a. dann in Betracht, wenn das Abfindungsangebot gemäß § 1a KSchG in Höhe eines halben Monatsgehalts pro Beschäftigungsjahr ""zu mickrig"" ist. Das wiederum kann der Fall sein, wenn die Kündigung mit großer Wahrscheinlichkeit unwirksam ist, und/oder wenn das Arbeitsverhältnis nur einige Jahre lang bestanden hat (dann ist das wirtschaftliche Risiko einer Kündigungsschutzklage für den Arbeitgeber deutlich höher als eine Abfindung gemäß § 1a KSchG), und/oder wenn die finanzielle Lage des Unternehmens gut ist, so dass der Arbeitgeber sich voraussichtlich auch auf eine höhere Abfindung einlassen wird. Nähere Informationen zur Kalkulation von Abfindungsangeboten finden Sie unter Abfindungshöhe, Berechnung und Höhe der Abfindung. ACHTUNG: Wie oben erwähnt, führt die Erhebung einer Kündigungsschutzklage dazu, dass der Abfindungsanspruch gemäß § 1a KSchG wegfällt. Wenn Ihr Klageziel nicht darin besteht, den Arbeitsplatz zu erhalten, sondern in einer höheren Abfindung, müssen Sie diese im Laufe des Prozesses mit dem Arbeitgeber vereinbaren. Möglicherweise ist der Arbeitgeber jetzt aber nicht mehr zu einer gütlichen Einigung bereit.  "
